No.	Time	Source	Destination	Protocol	Length	Info
84	35.029072	192.168.50.152	192.168.50.156	TCP	60	2489 ¡ú 44 [SYN] Seq=0 Win=512 Len=0
85	36.029773	192.168.50.152	192.168.50.156	TCP	60	2490 ¡ú 45 [SYN] Seq=0 Win=512 Len=0
86	37.030691	192.168.50.152	192.168.50.156	TCP	60	2491 ¡ú 46 [SYN] Seq=0 Win=512 Len=0
87	38.031894	192.168.50.152	192.168.50.156	TCP	60	2492 ¡ú 47 [SYN] Seq=0 Win=512 Len=0
88	39.004817	192.168.50.156	180.163.228.250	TCP	66	63603 ¡ú 80 [SYN, ECE, CWR] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM
89	39.012113	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460
90	39.012185	192.168.50.156	180.163.228.250	TCP	54	63603 ¡ú 80 [ACK] Seq=1 Ack=1 Win=64240 Len=0
91	39.012393	192.168.50.156	180.163.228.250	TCP	336	63603 ¡ú 80 [PSH, ACK] Seq=1 Ack=1 Win=64240 Len=282 [TCP PDU reassembled in 93]
92	39.012527	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63603 [ACK] Seq=1 Ack=283 Win=64240 Len=0
93	39.012538	192.168.50.156	180.163.228.250	HTTP	968	POST /cloudquery.php HTTP/1.1 
94	39.012625	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63603 [ACK] Seq=1 Ack=1197 Win=64240 Len=0
95	39.032144	192.168.50.152	192.168.50.156	TCP	60	2493 ¡ú 48 [SYN] Seq=0 Win=512 Len=0
96	39.052437	180.163.228.250	192.168.50.156	HTTP	620	HTTP/1.1 200 OK  (application/octet-stream)
97	39.052648	192.168.50.156	180.163.228.250	TCP	54	63603 ¡ú 80 [FIN, ACK] Seq=1197 Ack=567 Win=63674 Len=0
98	39.052783	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63603 [ACK] Seq=567 Ack=1198 Win=64239 Len=0
99	39.058710	180.163.228.250	192.168.50.156	TCP	60	80 ¡ú 63603 [FIN, PSH, ACK] Seq=567 Ack=1198 Win=64239 Len=0
100	39.058750	192.168.50.156	180.163.228.250	TCP	54	63603 ¡ú 80 [ACK] Seq=1198 Ack=568 Win=63674 Len=0
101	39.126888	fe80::ffff:ffff:fffe	ff02::2	ICMPv6	103	Router Solicitation
102	39.371164	fe80::8000:f227:d7ae:87d3	fe80::ffff:ffff:fffe	ICMPv6	151	Router Advertisement
103	39.415750	fe80::ff1:580a:a163:a5c0	ff02::c	UDP/XML	718	60832 ¡ú 3702 Len=656
104	39.416096	192.168.50.1	239.255.255.250	UDP/XML	698	60831 ¡ú 3702 Len=656
